lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
Los Angeles,CA,Manzanar,Manzanar,6946,34.1139,-118.4068,36.7333,-118.0667,36.7333,-118.0667
Seattle,WA,Puyallup,Minidoka,5754,47.6211,-122.3244,47.1833,-122.2833,42.6667,-114.2333
Sacramento,CA,Sacramento (Walerga),Tulelake,3209,38.5667,-121.4683,0.0,0.0,41.8833,-121.3667
San Francisco,CA,Tanforan,Topaz,2787,37.7562,-122.443,37.6167,-122.4,39.3833,-112.7167
Los Angeles,CA,Santa Anita,Amache,2588,34.1139,-118.4068,34.1333,-118.0333,38.05,-102.3
Los Angeles,CA,Pomona,Heartmountain,2564,34.1139,-118.4068,34.05,-117.75,44.5167,-109.05
Oakland,CA,Tanforan,Topaz,2536,37.7903,-122.2165,37.6167,-122.4,39.3833,-112.7167
Los Angeles,CA,Santa Anita,Heartmountain,2345,34.1139,-118.4068,34.1333,-118.0333,44.5167,-109.05
Spokane,WA,Portland,Minidoka,2205,47.6671,-117.433,45.5167,-122.6667,42.6667,-114.2333
Los Angeles,CA,Santa Anita,Rohwer,2110,34.1139,-118.4068,34.1333,-118.0333,33.75,-91.2667
Los Angeles,CA,None,Poston,2100,34.1139,-118.4068,0.0,0.0,34.15,-114.2833
Stockton,CA,Stockton,Rohwer,2088,37.9765,-121.3109,37.95,-121.2833,33.75,-91.2667
Fresno,CA,Fresno,Jerome,1459,36.7831,-119.7941,36.7333,-119.7667,33.3833,-91.4667
Renton,WA,Pinedale,Tulelake,1365,47.4784,-122.1919,36.84,-119.8,41.8833,-121.3667
Salinas,CA,Salinas,Poston,1306,36.6884,-121.6317,36.6667,-121.65,34.15,-114.2833
Selma,CA,None,Poston,1166,36.5715,-119.6143,0.0,0.0,34.15,-114.2833
Rocklin,CA,Marysville (Arboga),Tulelake,1162,38.8075,-121.2488,0.0,0.0,41.8833,-121.3667
San Joaquin,CA,None,Gilariver,1156,36.6057,-120.1897,0.0,0.0,32.1667,-111.8667
Watsonville,CA,Salinas,Poston,1080,36.9206,-121.7706,36.6667,-121.65,34.15,-114.2833
Los Angeles,CA,Santa Anita,Gilariver,931,34.1139,-118.4068,34.1333,-118.0333,32.1667,-111.8667
Torrance,CA,Santa Anita,Rohwer,898,33.8346,-118.3417,34.1333,-118.0333,33.75,-91.2667
