lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,m_camp_lat,m_camp_lng
Los Angeles,CA,Manzanar,Manzanar,6946,34.1139,-118.4068,36.7333,-118.0667
Seattle,WA,Puyallup,Minidoka,5754,47.6211,-122.3244,42.6667,-114.2333
Sacramento,CA,Sacramento (Walerga),Tulelake,3209,38.5667,-121.4683,41.8833,-121.3667
San Francisco,CA,Tanforan,Topaz,2787,37.7562,-122.443,39.3833,-112.7167
Los Angeles,CA,Santa Anita,Amache,2588,34.1139,-118.4068,38.05,-102.3
Los Angeles,CA,Pomona,Heartmountain,2564,34.1139,-118.4068,44.5167,-109.05
Oakland,CA,Tanforan,Topaz,2536,37.7903,-122.2165,39.3833,-112.7167
Los Angeles,CA,Santa Anita,Heartmountain,2345,34.1139,-118.4068,44.5167,-109.05
Spokane,WA,Portland,Minidoka,2205,47.6671,-117.433,42.6667,-114.2333
Los Angeles,CA,Santa Anita,Rohwer,2110,34.1139,-118.4068,33.75,-91.2667
Los Angeles,CA,None,Poston,2100,34.1139,-118.4068,34.15,-114.2833
Stockton,CA,Stockton,Rohwer,2088,37.9765,-121.3109,33.75,-91.2667
Fresno,CA,Fresno,Jerome,1459,36.7831,-119.7941,33.3833,-91.4667
Renton,WA,Pinedale,Tulelake,1365,47.4784,-122.1919,41.8833,-121.3667
Salinas,CA,Salinas,Poston,1306,36.6884,-121.6317,34.15,-114.2833
Selma,CA,None,Poston,1166,36.5715,-119.6143,34.15,-114.2833
Rocklin,CA,Marysville (Arboga),Tulelake,1162,38.8075,-121.2488,41.8833,-121.3667
San Joaquin,CA,None,Gilariver,1156,36.6057,-120.1897,32.1667,-111.8667
Watsonville,CA,Salinas,Poston,1080,36.9206,-121.7706,34.15,-114.2833
Los Angeles,CA,Santa Anita,Gilariver,931,34.1139,-118.4068,32.1667,-111.8667
Torrance,CA,Santa Anita,Rohwer,898,33.8346,-118.3417,33.75,-91.2667
Los Angeles,CA,Santa Anita,Jerome,885,34.1139,-118.4068,33.3833,-91.4667
Lodi,CA,Stockton,Rohwer,882,38.1218,-121.2932,33.75,-91.2667
Tulare,CA,Tulare,Gilariver,863,36.1996,-119.34,32.1667,-111.8667
South Gate,CA,Santa Anita,Jerome,848,33.9448,-118.1926,33.3833,-91.4667
Sunnyvale,CA,Santa Anita,Heartmountain,837,37.3836,-122.0256,44.5167,-109.05
Tacoma,WA,Pinedale,Tulelake,834,47.2431,-122.4531,41.8833,-121.3667
El Centro,CA,None,Poston,832,32.7867,-115.5586,34.15,-114.2833
South Gate,CA,Manzanar,Manzanar,823,33.9448,-118.1926,36.7333,-118.0667
South Gate,CA,Tulare,Gilariver,791,33.9448,-118.1926,32.1667,-111.8667
Woodlake,CA,None,Poston,760,36.4124,-119.0999,34.15,-114.2833
San Jose,CA,Santa Anita,Heartmountain,756,37.3019,-121.8486,44.5167,-109.05
Los Angeles,CA,Turlock,Gilariver,727,34.1139,-118.4068,32.1667,-111.8667
Vacaville,CA,Turlock,Gilariver,673,38.359,-121.968,32.1667,-111.8667
Torrance,CA,Santa Anita,Jerome,664,33.8346,-118.3417,33.3833,-91.4667
San Diego,CA,Santa Anita,Poston,661,32.8312,-117.1225,34.15,-114.2833
San Francisco,CA,Pomona,Heartmountain,640,37.7562,-122.443,44.5167,-109.05
Lindsay,CA,None,Poston,613,36.2082,-119.0897,34.15,-114.2833
Whittier,CA,Santa Anita,Rohwer,595,33.9678,-118.0188,33.75,-91.2667
Tulare,CA,None,Poston,587,36.1996,-119.34,34.15,-114.2833
Isleton,CA,Fresno,Jerome,562,38.1617,-121.6051,33.3833,-91.4667
Isleton,CA,Sacramento (Walerga),Tulelake,552,38.1617,-121.6051,41.8833,-121.3667
Torrance,CA,Manzanar,Manzanar,550,33.8346,-118.3417,36.7333,-118.0667
Tukwila,WA,Pinedale,Tulelake,549,47.4749,-122.2727,41.8833,-121.3667
Walnut Creek,CA,Turlock,Gilariver,549,37.9024,-122.0398,32.1667,-111.8667
Pleasanton,CA,Tanforan,Topaz,543,37.6663,-121.8805,39.3833,-112.7167
Zillah,WA,Portland,Heartmountain,543,46.4084,-120.2725,44.5167,-109.05
San Francisco,CA,Santa Anita,Topaz,539,37.7562,-122.443,39.3833,-112.7167
Oceanside,CA,None,Poston,529,33.2247,-117.3083,34.15,-114.2833
Westmorland,CA,None,Poston,528,33.0389,-115.6223,34.15,-114.2833
Whittier,CA,Tulare,Gilariver,526,33.9678,-118.0188,32.1667,-111.8667
Selma,CA,None,Gilariver,520,36.5715,-119.6143,32.1667,-111.8667
Sacramento,CA,Marysville (Arboga),Tulelake,517,38.5667,-121.4683,41.8833,-121.3667
Manteca,CA,Stockton,Rohwer,515,37.7927,-121.2264,33.75,-91.2667
Santa Ana,CA,None,Poston,514,33.7366,-117.8819,34.15,-114.2833
Torrance,CA,Tulare,Gilariver,513,33.8346,-118.3417,32.1667,-111.8667
San Mateo,CA,Tanforan,Topaz,509,37.5521,-122.3122,39.3833,-112.7167
Tustin,CA,None,Poston,500,33.7309,-117.8106,34.15,-114.2833
Spokane,WA,Pinedale,Tulelake,487,47.6671,-117.433,41.8833,-121.3667
Sacramento,CA,Pinedale,Poston,485,38.5667,-121.4683,34.15,-114.2833
Seattle,WA,Pinedale,Tulelake,480,47.6211,-122.3244,41.8833,-121.3667
Oahu,HI,None,Jerome,439,21.473,-157.9868,33.3833,-91.4667
Stockton,CA,Turlock,Gilariver,431,37.9765,-121.3109,32.1667,-111.8667
Marysville,CA,None,Tulelake,429,39.1518,-121.5835,41.8833,-121.3667
Santa Paula,CA,Tulare,Gilariver,426,34.3521,-119.0698,32.1667,-111.8667
Santa Maria,CA,Tulare,Gilariver,416,34.9334,-120.4432,32.1667,-111.8667
Signal Hill,CA,Santa Anita,Rohwer,414,33.8029,-118.1681,33.75,-91.2667
Los Banos,CA,Merced,Amache,408,37.063,-120.8406,38.05,-102.3
Sacramento,CA,Fresno,Jerome,401,38.5667,-121.4683,33.3833,-91.4667
Wilkeson,WA,Puyallup,Minidoka,392,47.1034,-122.0495,42.6667,-114.2333
Isleton,CA,Merced,Amache,386,38.1617,-121.6051,38.05,-102.3
Signal Hill,CA,Pomona,Heartmountain,380,33.8029,-118.1681,44.5167,-109.05
Newport Beach,CA,None,Poston,376,33.6151,-117.8669,34.15,-114.2833
San Joaquin,CA,Fresno,Jerome,374,36.6057,-120.1897,33.3833,-91.4667
Winters,CA,Merced,Amache,372,38.532,-121.9781,38.05,-102.3
Isleton,CA,Turlock,Gilariver,360,38.1617,-121.6051,32.1667,-111.8667
Torrance,CA,Pomona,Heartmountain,354,33.8346,-118.3417,44.5167,-109.05
